0:0:0:0:0:0:0:1 - - [06/May/2019:17:46:52 +0530] "GET /ORSproject04/ctl/CollegeCtl?id=2 HTTP/1.1" 200 5378
0:0:0:0:0:0:0:1 - - [06/May/2019:17:46:55 +0530] "POST /ORSproject04/ctl/CollegeCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2019:17:46:56 +0530] "GET /ORSproject04/ctl/CollegeListCtl HTTP/1.1" 200 6136
0:0:0:0:0:0:0:1 - - [06/May/2019:17:46:58 +0530] "GET /ORSproject04/ctl/CollegeCtl HTTP/1.1" 200 5286
0:0:0:0:0:0:0:1 - - [06/May/2019:17:47:04 +0530] "POST /ORSproject04/ctl/CollegeCtl HTTP/1.1" 200 5286
0:0:0:0:0:0:0:1 - - [06/May/2019:17:47:22 +0530] "GET /ORSproject04/ctl/StudentCtl HTTP/1.1" 200 6482
0:0:0:0:0:0:0:1 - - [06/May/2019:17:54:52 +0530] "GET /ORSproject04/ctl/StudentCtl HTTP/1.1" 200 6483
0:0:0:0:0:0:0:1 - - [06/May/2019:17:55:15 +0530] "GET /ORSproject04/ctl/StudentCtl HTTP/1.1" 200 6459
0:0:0:0:0:0:0:1 - - [06/May/2019:18:02:33 +0530] "GET /ORSproject04/ctl/StudentCtl HTTP/1.1" 200 6458
0:0:0:0:0:0:0:1 - - [06/May/2019:18:02:40 +0530] "GET /ORSproject04/ctl/StudentListCtl HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [06/May/2019:18:02:45 +0530] "GET /ORSproject04/ctl/StudentCtl?id=1 HTTP/1.1" 200 6594
0:0:0:0:0:0:0:1 - - [06/May/2019:18:02:50 +0530] "POST /ORSproject04/ctl/StudentCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2019:18:02:50 +0530] "GET /ORSproject04/ctl/StudentListCtl HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [06/May/2019:18:02:59 +0530] "POST /ORSproject04/ctl/StudentListCtl HTTP/1.1" 200 6374
0:0:0:0:0:0:0:1 - - [06/May/2019:18:03:06 +0530] "GET /ORSproject04/ctl/StudentCtl HTTP/1.1" 200 6458
0:0:0:0:0:0:0:1 - - [06/May/2019:18:03:10 +0530] "POST /ORSproject04/ctl/StudentCtl HTTP/1.1" 200 6458
0:0:0:0:0:0:0:1 - - [06/May/2019:18:03:16 +0530] "POST /ORSproject04/ctl/StudentCtl HTTP/1.1" 200 6458
0:0:0:0:0:0:0:1 - - [06/May/2019:18:03:18 +0530] "POST /ORSproject04/ctl/StudentCtl HTTP/1.1" 200 6458
0:0:0:0:0:0:0:1 - - [06/May/2019:18:03:19 +0530] "POST /ORSproject04/ctl/StudentCtl HTTP/1.1" 200 6458
0:0:0:0:0:0:0:1 - - [06/May/2019:18:03:19 +0530] "POST /ORSproject04/ctl/StudentCtl HTTP/1.1" 200 6458
0:0:0:0:0:0:0:1 - - [06/May/2019:18:03:23 +0530] "GET /ORSproject04/ctl/StudentCtl HTTP/1.1" 200 6458
0:0:0:0:0:0:0:1 - - [06/May/2019:18:04:46 +0530] "GET /ORSproject04/ctl/RoleCtl HTTP/1.1" 200 4566
0:0:0:0:0:0:0:1 - - [06/May/2019:18:05:49 +0530] "GET /ORSproject04/ctl/CourseCtl HTTP/1.1" 200 5206
